,new_cases,new_deaths,positive_rate,people_vaccinated,Mobility
2020-01-23,0.0,,,,103.29
2020-01-24,1.0,,,,113.06
2020-01-25,0.0,,,,101.88
2020-01-26,3.0,,,,81.35
2020-01-27,0.0,,,,97.56
2020-01-28,0.0,,,,97.08
2020-01-29,1.0,,,,97.49
2020-01-30,0.0,,,,100.72
2020-01-31,2.0,,,,110.99
2020-02-01,0.0,,,,103.42
2020-02-02,0.0,,,,80.2
2020-02-03,3.0,,,,96.48
2020-02-04,0.0,,,,97.63
2020-02-05,0.0,,,,98.26
2020-02-06,1.0,,,,101.15
2020-02-07,0.0,,,,110.91
2020-02-08,0.0,,,,107.27
2020-02-09,0.0,,,,84.2
2020-02-10,0.0,,,,98.3
2020-02-11,1.0,,,,100.64
2020-02-12,0.0,,,,102.08
2020-02-13,1.0,,,,106.67
2020-02-14,0.0,,,,119.06
2020-02-15,0.0,,,,107.77
2020-02-16,0.0,,,,91.63
2020-02-17,0.0,,,,101.73
2020-02-18,0.0,,,,104.64
2020-02-19,0.0,,,,105.16
2020-02-20,0.0,,,,106.16
2020-02-21,2.0,,,,117.14
2020-02-22,0.0,,,,110.65
2020-02-23,0.0,,,,87.27
2020-02-24,0.0,,,,99.21
2020-02-25,0.0,,,,100.12
2020-02-26,0.0,,,,100.52
2020-02-27,1.0,,,,102.98
2020-02-28,0.0,,,,116.02
2020-02-29,8.0,1.0,,,109.92
2020-03-01,7.0,0.0,,,85.31
2020-03-02,23.0,5.0,,,98.06
2020-03-03,19.0,1.0,,,100.26
2020-03-04,33.0,4.0,,,101.5
2020-03-05,77.0,1.0,,,103.53
2020-03-06,53.0,2.0,,,111.5
2020-03-07,166.0,3.0,0.167,,107.32
2020-03-08,116.0,4.0,0.172,,84.23
2020-03-09,75.0,1.0,0.195,,97.1
2020-03-10,188.0,6.0,0.192,,92.48
2020-03-11,365.0,5.0,0.192,,89.97
2020-03-12,439.0,10.0,0.172,,79.08
2020-03-13,633.0,8.0,0.153,,76.78
2020-03-14,759.0,7.0,0.148,,64.59
2020-03-15,234.0,12.0,0.161,,49.93
2020-03-16,1467.0,27.0,0.14,,50.79
2020-03-17,1833.0,37.0,0.125,,43.58
2020-03-18,2657.0,60.0,0.121,,39.63
2020-03-19,4494.0,72.0,0.12,,36.76
2020-03-20,6367.0,106.0,0.117,,35.8
2020-03-21,5995.0,103.0,0.119,,29.31
2020-03-22,8873.0,124.0,0.123,,24.84
2020-03-23,11238.0,191.0,0.128,,28.17
2020-03-24,10619.0,243.0,0.127,,27.91
2020-03-25,12082.0,334.0,0.128,,26.94
2020-03-26,17856.0,418.0,0.133,,27.09
2020-03-27,18690.0,522.0,0.14,,28.07
2020-03-28,19630.0,650.0,0.146,,23.83
2020-03-29,18899.0,616.0,0.152,,22.39
2020-03-30,22075.0,713.0,0.156,,26.51
2020-03-31,26314.0,1085.0,0.162,,25.47
2020-04-01,32286.0,1284.0,0.17,,25.24
2020-04-02,32222.0,1514.0,0.175,,24.67
2020-04-03,32307.0,1429.0,0.18,,25.04
2020-04-04,32386.0,1568.0,0.187,,22.42
2020-04-05,29895.0,1615.0,0.188,,20.92
2020-04-06,31390.0,1772.0,0.191,,24.71
2020-04-07,30779.0,2573.0,0.19,,24.65
2020-04-08,31235.0,2161.0,0.192,,24.51
2020-04-09,35942.0,2211.0,0.194,,23.69
2020-04-10,34403.0,2197.0,0.194,,24.31
2020-04-11,29083.0,2126.0,0.184,,22.65
2020-04-12,27256.0,1873.0,0.189,,19.06
2020-04-13,26939.0,2015.0,0.191,,23.67
2020-04-14,28818.0,2447.0,0.19,,24.44
2020-04-15,25408.0,2607.0,0.182,,24.23
2020-04-16,30002.0,2153.0,0.177,,24.06
2020-04-17,33066.0,2113.0,0.172,,24.89
2020-04-18,27907.0,1972.0,0.175,,22.89
2020-04-19,26062.0,1976.0,0.172,,22.11
2020-04-20,29820.0,2236.0,0.166,,26.13
2020-04-21,25926.0,2505.0,0.157,,25.1
2020-04-22,28911.0,2465.0,0.154,,25.09
2020-04-23,33612.0,2458.0,0.149,,25.08
2020-04-24,32327.0,2188.0,0.145,,25.99
2020-04-25,30380.0,1716.0,0.143,,24.85
