,total_cases,new_cases,positive_rate,new_vaccinations,Mobility
23-01-2020,1,0,,,103.29
24-01-2020,2,1,,,113.06
25-01-2020,2,0,,,101.88
26-01-2020,5,3,,,81.35
27-01-2020,5,0,,,97.56
28-01-2020,5,0,,,97.08
29-01-2020,6,1,,,97.49
30-01-2020,6,0,,,100.72
31-01-2020,8,2,,,110.99
01-02-2020,8,0,,,103.42
02-02-2020,8,0,,,80.2
03-02-2020,11,3,,,96.48
04-02-2020,11,0,,,97.63
05-02-2020,11,0,,,98.26
06-02-2020,12,1,,,101.15
07-02-2020,12,0,,,110.91
08-02-2020,12,0,,,107.27
09-02-2020,12,0,,,84.2
10-02-2020,12,0,,,98.3
11-02-2020,13,1,,,100.64
12-02-2020,13,0,,,102.08
13-02-2020,14,1,,,106.67
14-02-2020,14,0,,,119.06
15-02-2020,14,0,,,107.77
16-02-2020,14,0,,,91.63
17-02-2020,14,0,,,101.73
18-02-2020,14,0,,,104.64
19-02-2020,14,0,,,105.16
20-02-2020,14,0,,,106.16
21-02-2020,16,2,,,117.14
22-02-2020,16,0,,,110.65
23-02-2020,16,0,,,87.27
24-02-2020,16,0,,,99.21
25-02-2020,16,0,,,100.12
26-02-2020,16,0,,,100.52
27-02-2020,17,1,,,102.98
28-02-2020,17,0,,,116.02
29-02-2020,25,8,,,109.92
01-03-2020,32,7,,,85.31
02-03-2020,55,23,,,98.06
03-03-2020,74,19,,,100.26
04-03-2020,107,33,,,101.5
05-03-2020,184,77,,,103.53
06-03-2020,237,53,,,111.5
07-03-2020,403,166,0.167,,107.32
08-03-2020,519,116,0.172,,84.23
09-03-2020,594,75,0.195,,97.1
10-03-2020,782,188,0.192,,92.48
11-03-2020,1147,365,0.192,,89.97
12-03-2020,1586,439,0.172,,79.08
13-03-2020,2219,633,0.153,,76.78
14-03-2020,2978,759,0.148,,64.59
15-03-2020,3212,234,0.161,,49.93
16-03-2020,4679,1467,0.14,,50.79
17-03-2020,6512,1833,0.125,,43.58
18-03-2020,9169,2657,0.121,,39.63
19-03-2020,13663,4494,0.12,,36.76
20-03-2020,20030,6367,0.117,,35.8
21-03-2020,26025,5995,0.119,,29.31
22-03-2020,34898,8873,0.123,,24.84
23-03-2020,46136,11238,0.128,,28.17
24-03-2020,56755,10619,0.127,,27.91
25-03-2020,68837,12082,0.128,,26.94
26-03-2020,86693,17856,0.133,,27.09
27-03-2020,105383,18690,0.14,,28.07
28-03-2020,125013,19630,0.146,,23.83
29-03-2020,143912,18899,0.152,,22.39
30-03-2020,165987,22075,0.156,,26.51
31-03-2020,192301,26314,0.162,,25.47
01-04-2020,224587,32286,0.17,,25.24
02-04-2020,256809,32222,0.175,,24.67
03-04-2020,289116,32307,0.18,,25.04
04-04-2020,321502,32386,0.187,,22.42
05-04-2020,351397,29895,0.188,,20.92
06-04-2020,382787,31390,0.191,,24.71
07-04-2020,413566,30779,0.19,,24.65
08-04-2020,444801,31235,0.192,,24.51
09-04-2020,480743,35942,0.194,,23.69
10-04-2020,515146,34403,0.194,,24.31
11-04-2020,544229,29083,0.184,,22.65
12-04-2020,571485,27256,0.189,,19.06
13-04-2020,598424,26939,0.191,,23.67
14-04-2020,627242,28818,0.19,,24.44
15-04-2020,652650,25408,0.182,,24.23
16-04-2020,682652,30002,0.177,,24.06
17-04-2020,715718,33066,0.172,,24.89
18-04-2020,743625,27907,0.175,,22.89
19-04-2020,769687,26062,0.172,,22.11
20-04-2020,799507,29820,0.166,,26.13
21-04-2020,825433,25926,0.157,,25.1
22-04-2020,854344,28911,0.154,,25.09
23-04-2020,887956,33612,0.149,,25.08
24-04-2020,920283,32327,0.145,,25.99
25-04-2020,950663,30380,0.143,,24.85
26-04-2020,977151,26488,0.139,,22.47
27-04-2020,1000866,23715,0.132,,26.64
28-04-2020,1025441,24575,0.128,,27.32
29-04-2020,1051900,26459,0.122,,26.84
30-04-2020,1081105,29205,0.115,,26.66
01-05-2020,1116012,34907,0.108,,29.24
02-05-2020,1143360,27348,0.103,,28.11
03-05-2020,1167681,24321,0.101,,26.35
04-05-2020,1191749,24068,0.099,,30
05-05-2020,1216277,24528,0.096,,29.8
06-05-2020,1240846,24569,0.091,,29.47
07-05-2020,1268275,27429,0.09,,30.12
08-05-2020,1295105,26830,0.086,,30.07
09-05-2020,1320281,25176,0.083,,28.58
10-05-2020,1339086,18805,0.078,,24.77
11-05-2020,1358384,19298,0.075,,
12-05-2020,1381311,22927,0.072,,
13-05-2020,1401744,20433,0.069,,30.69
14-05-2020,1428561,26817,0.066,,30.83
15-05-2020,1453294,24733,0.064,,33.06
16-05-2020,1477429,24135,0.064,,31.28
17-05-2020,1495817,18388,0.062,,28.39
18-05-2020,1518206,22389,0.063,,32.65
19-05-2020,1539185,20979,0.062,,32.74
20-05-2020,1561910,22725,0.062,,33.2
21-05-2020,1587679,25769,0.061,,33.67
22-05-2020,1611328,23649,0.06,,36.12
23-05-2020,1632427,21099,0.058,,33.43
24-05-2020,1652504,20077,0.057,,31.38
25-05-2020,1671166,18662,0.055,,33.08
26-05-2020,1690829,19663,0.054,,37.14
27-05-2020,1709380,18551,0.05,,36.98
28-05-2020,1731700,22320,0.048,,36.37
29-05-2020,1756178,24478,0.047,,38.46
30-05-2020,1779810,23632,0.047,,37.81
31-05-2020,1798793,18983,0.046,,32.76
01-06-2020,1816207,17414,0.045,,36.92
02-06-2020,1837709,21502,0.044,,37.39
03-06-2020,1857566,19857,0.045,,37.37
04-06-2020,1879224,21658,0.044,,38.99
05-06-2020,1904627,25403,0.044,,40.66
06-06-2020,1925769,21142,0.043,,41.16
07-06-2020,1943697,17928,0.042,,37.39
08-06-2020,1961313,17616,0.043,,43.32
09-06-2020,1979696,18383,0.042,,43.35
10-06-2020,2000807,21111,0.042,,43.35
11-06-2020,2023973,23166,0.042,,42.92
12-06-2020,2048801,24828,0.042,,47.34
13-06-2020,2074013,25212,0.042,,44.66
14-06-2020,2092954,18941,0.043,,40.12
15-06-2020,2112781,19827,0.043,,45.4
16-06-2020,2136448,23667,0.044,,45.91
17-06-2020,2163520,27072,0.044,,45.69
18-06-2020,2192057,28537,0.045,,46.18
19-06-2020,2223601,31544,0.046,,51.04
20-06-2020,2255881,32280,0.048,,46.18
21-06-2020,2281031,25150,0.049,,39.74
22-06-2020,2313175,32144,0.051,,48.89
23-06-2020,2350247,37072,0.053,,49.39
24-06-2020,2386125,35878,0.055,,49.41
25-06-2020,2426451,40326,0.058,,49.83
26-06-2020,2472450,45999,0.06,,52.8
27-06-2020,2513780,41330,0.061,,48.26
28-06-2020,2554514,40734,0.063,,43.78
